"date","year","mo","casos","t_max","t_med","t_min","hr","precip","oni","enso_state"
2019-08-01,2019,8,NA,32.1258064516129,29.1367741935484,26.3551612903226,76.7416129032258,140.14,0.19,"Neutral"
2019-09-01,2019,9,NA,30.9886666666667,28.644,26.6233333333333,79.792,158.75,0.23,"Neutral"
2019-10-01,2019,10,NA,29.5287096774194,27.8496774193548,26.3441935483871,84.5329032258065,226.97,0.39,"Neutral"
2019-11-01,2019,11,NA,27.864,25.6786666666667,23.6173333333333,82.1316666666667,82.46,0.58,"Niño"
2019-12-01,2019,12,NA,27.0841935483871,24.2229032258065,21.7248387096774,78.8890322580645,101.98,0.66,"Niño"
2020-01-01,2020,1,NA,27.6961290322581,24.4012903225806,21.5954838709677,76.6783870967742,32.53,0.64,"Niño"
2020-02-01,2020,2,NA,29.3331034482759,25.5096551724138,22.1513793103448,68.9124137931035,8.73,0.63,"Niño"
2020-03-01,2020,3,NA,31.0451612903226,26.9629032258065,23.2751612903226,65.8977419354839,213.88,0.53,"Niño"
2020-04-01,2020,4,NA,34.4583333333333,30.3776666666667,26.8743333333333,61.1856666666667,34.99,0.3,"Neutral"
2020-05-01,2020,5,NA,32.4367741935484,29.1296774193548,26.1896774193548,73.22,241.31,0.01,"Neutral"
2020-06-01,2020,6,NA,29.6203333333333,27.858,26.2566666666667,86.4883333333333,553.54,-0.23,"Neutral"
2020-07-01,2020,7,NA,30.0416129032258,28.2961290322581,26.6290322580645,84.1606451612903,146.35,-0.36,"Neutral"
2020-08-01,2020,8,NA,30.2277419354839,28.4112903225806,26.7058064516129,83.6187096774193,198.11,-0.53,"Niña"
2020-09-01,2020,9,NA,30.0373333333333,28.3463333333333,26.8173333333333,83.269,222.53,-0.85,"Niña"
2020-10-01,2020,10,NA,28.67,27.251935483871,26.0151612903226,86.1287096774194,401.33,-1.12,"Niña"
2020-11-01,2020,11,NA,27.5203333333333,25.6046666666667,24.038,86.2466666666667,89.35,-1.2,"Niña"
2020-12-01,2020,12,NA,26.0635483870968,23.4638709677419,21.0803225806452,81.1961290322581,38.14,-1.08,"Niña"
2021-01-01,2021,1,NA,26.9274193548387,23.7154838709677,21.0732258064516,78.1974193548387,41.63,-0.91,"Niña"
2021-02-01,2021,2,NA,28.4989285714286,24.745,21.5335714285714,73.7471428571429,71.89,-0.79,"Niña"
2021-03-01,2021,3,NA,30.9529032258065,26.9393548387097,23.4287096774194,67.2561290322581,11.52,-0.71,"Niña"
2021-04-01,2021,4,NA,32.9233333333333,29.1023333333333,25.63,64.551,48.42,-0.55,"Niña"
2021-05-01,2021,5,NA,32.5567741935484,29.188064516129,26.248064516129,71.3345161290323,577.46,-0.39,"Neutral"
2021-06-01,2021,6,NA,30.6443333333333,28.3653333333333,26.2726666666667,80.4616666666667,195.26,-0.3,"Neutral"
